Index;Sender;Receiver;Unit;Converter;NameDE;NameEN;MqttTopic;DescriptionDE;DescriptionEN;Default;MinValue;MaxValue;ValuesDE;ValuesEN;ReadOnly
1480;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Mo-Fr Zeitspanne 1;Heating Program Heating Circuit 2 MON-FRI Time Period 1;/program/heating/hc2/weekdays/p1;;;00:00-24:00;;;;;
1481;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Mo-Fr Zeitspanne 2;Heating Program Heating Circuit 2 MON-FRI Time Period 2;/program/heating/hc2/weekdays/p2;;;---;;;;;
1482;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Mo-Fr Zeitspanne 3;Heating Program Heating Circuit 2 MON-FRI Time Period 3;/program/heating/hc2/weekdays/p3;;;---;;;;;
1490;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Sa-So Zeitspanne 1;Heating Program Heating Circuit 2 SAT-SUN Time Period 1;/program/heating/hc2/weekend/p1;;;00:00-24:00;;;;;
1491;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Sa-So Zeitspanne 2;Heating Program Heating Circuit 2 SAT-SUN Time Period 2;/program/heating/hc2/weekend/p2;;;---;;;;;
1492;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Sa-So Zeitspanne 3;Heating Program Heating Circuit 2 SAT-SUN Time Period 3;/program/heating/hc2/weekend/p3;;;---;;;;;
14A0;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Mo-So Zeitspanne 1;Heating Program Heating Circuit 2 MON-SUN Time Period 1;/program/heating/hc2/all/p1;;;00:00-24:00;;;;;
14A1;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Mo-So Zeitspanne 2;Heating Program Heating Circuit 2 MON-SUN Time Period 2;/program/heating/hc2/all/p2;;;---;;;;;
14A2;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Mo-So Zeitspanne 3;Heating Program Heating Circuit 2 MON-SUN Time Period 3;/program/heating/hc2/all/p3;;;---;;;;;
1710;180;6A0;;TimeRange;Warmwasserprogramm Montag Zeitspanne 1;DWH Program Monday Time Period 1;/program/dwh/mon/p1;;;00:00-24:00;;;;;
1711;180;6A0;;TimeRange;Warmwasserprogramm Montag Zeitspanne 2;DWH Program Monday Time Period 2;/program/dwh/mon/p2;;;---;;;;;
