elster-kromschroeder can-bus address scanner and test utility
copyright (c) 2014 Jürg Müller, CH-5524

  { 0x180, 0x0683, 0xfff7},  // TEST_OBJEKT_66: -9
  { 0x180, 0x0684, 0xffeb},  // TEST_OBJEKT_67: -21
  { 0x180, 0x0685, 0xffd6},  // TEST_OBJEKT_68: -42
  { 0x180, 0x0686, 0x145a},  // TEST_OBJEKT_69: 5210
  { 0x180, 0x0687, 0x0029},  // TEST_OBJEKT_70: 41
  { 0x180, 0x0688, 0x0001},  // TEST_OBJEKT_71: 1
  { 0x180, 0x0690, 0x003c},  // TEST_OBJEKT_79: 60
  { 0x180, 0x0691, 0x003c},  // TEST_OBJEKT_80: 60
  { 0x180, 0x0692, 0x001e},  // TEST_OBJEKT_81: 30
  { 0x180, 0x0693, 0x012a},  // TEST_OBJEKT_82: 298
  { 0x180, 0x0694, 0x00f6},  // TEST_OBJEKT_83: 246
  { 0x180, 0x0695, 0x0000},  // TEST_OBJEKT_84: 0
  { 0x180, 0x0696, 0x0000},  // TEST_OBJEKT_85: 0
  { 0x180, 0x0697, 0x0000},  // TEST_OBJEKT_86: 0
  { 0x180, 0x0698, 0x0000},  // TEST_OBJEKT_87: 0
  { 0x180, 0x0699, 0x0096},  // TEST_OBJEKT_88: 150
  { 0x180, 0x069a, 0x0014},  // TEST_OBJEKT_89: 20
  { 0x180, 0x069b, 0x0000},  // TEST_OBJEKT_90: 0
  { 0x180, 0x069c, 0x0000},  // TEST_OBJEKT_91: 0
  { 0x180, 0x069d, 0x0000},  // TEST_OBJEKT_92: 0
  { 0x180, 0x069e, 0x0000},  // TEST_OBJEKT_93: 0
  { 0x180, 0x069f, 0x0000},  // TEST_OBJEKT_94: 0
  { 0x180, 0x06a0, 0x0000},  // TEST_OBJEKT_95: 0
  { 0x180, 0x06a1, 0x0000},  // TEST_OBJEKT_96: 0
  { 0x180, 0x06a2, 0x00e6},  // TEST_OBJEKT_97: 230
  { 0x180, 0x06a3, 0x0004},  // TEST_OBJEKT_98: 4
  { 0x180, 0x06a4, 0x0000},  // TEST_OBJEKT_99: 0
  { 0x180, 0x06a5, 0x0000},  // TEST_OBJEKT_100: 0
  { 0x180, 0x06a6, 0x0000},  // TEST_OBJEKT_101: 0
  { 0x180, 0x06ae, 0x0000},  // TEST_OBJEKT_109: 0
  { 0x180, 0x06c6, 0x0000},  // TEST_OBJEKT_133: 0
  { 0x180, 0x06c7, 0x0000},  // TEST_OBJEKT_134: 0
  { 0x180, 0x06c8, 0x0000},  // TEST_OBJEKT_135: 0
